long_threshold,short_threshold,min_confidence,min_position,trades,coverage,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,hit_rate,benchmark_symbol,benchmark_cumulative_return,excess_return,alpha,beta,information_ratio,objective_score
0.2,0.2,0.1,0.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.2,0.1,1.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.2,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.2,0.3,0.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.2,0.3,1.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.2,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.25,0.1,0.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.25,0.1,1.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.25,0.1,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.25,0.3,0.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.25,0.3,1.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.2,0.25,0.3,10.0,12,0.1518987341772152,-0.0006891554789937304,-0.002196660385572091,0.009264705953617844,-2.3914580611409977,-0.003554678174053527,0.06329113924050633,sh000300,0.032168077338428525,-0.032857232817422255,-0.022407720708180014,0.0027009608698193624,-0.7408069719438001,-1.3343965234232942
0.05,0.05,0.5,0.0,10,0.12658227848101267,-0.0006277675339929623,-0.0020011228627608846,0.009249136309440544,-2.374313875208801,-0.003554678174053416,0.05063291139240506,sh000300,0.032168077338428525,-0.03279584487242149,-0.022203428981069043,0.002609821202597057,-0.7394866170606227,-1.3487232696212283
0.05,0.05,0.5,1.0,10,0.12658227848101267,-0.0006277675339929623,-0.0020011228627608846,0.009249136309440544,-2.374313875208801,-0.003554678174053416,0.05063291139240506,sh000300,0.032168077338428525,-0.03279584487242149,-0.022203428981069043,0.002609821202597057,-0.7394866170606227,-1.3487232696212283
